Object;WikiTokensWithTypes;GraspType;Grasp
Acorn;PIVOT acorn CONTEXT nut HARDNESS tough TEXTURE leathery COMPONENT shell SIZE long CONTEXT fruit GEOMETRY oval CONTEXT nut MATERIAL woody COMPONENT cup CONTEXT fruit TEXTURE smooth CONTEXT nut GEOMETRY oval CONTEXT nut CONTEXT fruit CONTEXT nut HARDNESS hard COMPONENT woody CONTEXT nut SIZE small COMPONENT cover GEOMETRY ovoid CONTEXT fruit CONTEXT nut CONTEXT fruit GEOMETRY thick-walled CONTEXT nut COMPONENT woody CONTEXT fruit TEXTURE smooth GEOMETRY oval CONTEXT nut TEXTURE rough COMPONENT base;Precision;2
Apple;PIVOT apple CONTEXT fruit PIVOT Apples PIVOT Apples GEOMETRY round CONTEXT fruit CONTEXT fruit COLOR red COLOR yellow COLOR green COMPONENT skin GEOMETRY round CONTEXT fruit TEXTURE smooth COLOR green COLOR yellow COLOR red COMPONENT skin GEOMETRY rounded COLOR red COLOR yellow COLOR green CONTEXT fruit HARDNESS hard GEOMETRY round CONTEXT fruit COLOR white TEXTURE smooth COLOR green COLOR yellow COLOR red COMPONENT skin COMPONENT seeds GEOMETRY round COLOR red COLOR yellow CONTEXT fruit SIZE small COLOR white COLOR pink GEOMETRY rounded CONTEXT fruit GEOMETRY round CONTEXT fruit GEOMETRY thin COLOR red COLOR green COMPONENT skin TASK cooking CONTEXT fruit;Power;1
Apricot;PIVOT apricot CONTEXT fruit CONTEXT fruit GEOMETRY round CONTEXT fruit TEXTURE fuzzy COMPONENT skin SIZE large COMPONENT seed COLOR white CONTEXT fruit SIZE small HARDNESS soft GEOMETRY round CONTEXT fruit GEOMETRY oval CONTEXT fruit HARDNESS soft CONTEXT fruit COLOR orange-yellow COMPONENT skin SIZE large HARDNESS hard COMPONENT seed COLOR yellow CONTEXT fruit SIZE small COLOR white CONTEXT fruit HARDNESS soft CONTEXT fruit SIZE small;Power;1
Avocado;PIVOT avocado CONTEXT fruit SIZE large SIZE large COMPONENT seed SIZE large COLOR yellowish-green COLOR black CONTEXT fruit CONTEXT fruit COLOR green COLOR blackish COMPONENT skin SIZE large COMPONENT seed GEOMETRY pear-shaped CONTEXT vegetables HARDNESS hard COMPONENT skins SIZE large COMPONENT stones TASK eaten COLOR green CONTEXT fruit CONTEXT fruit COLOR green COLOR black COMPONENT skin SIZE large COMPONENT seed COLOR green TASK eaten SIZE large GEOMETRY pear-shaped CONTEXT fruit COLOR green COLOR blackish COMPONENT skin SIZE large COMPONENT seed HARDNESS soft TASK eaten GEOMETRY oval GEOMETRY pear-shaped CONTEXT fruit TEXTURE leathery COMPONENT skin SIZE large COMPONENT seed CONTEXT fruit GEOMETRY pear-shaped CONTEXT fruit TEXTURE rough TEXTURE leathery COMPONENT skin TEXTURE smooth SIZE large;Power;1
Ballpoint pen;CONTEXT ballpoint PIVOT pen MATERIAL metal COMPONENT ball MATERIAL metal MATERIAL steel MATERIAL brass MATERIAL carbide TASK writing CONTEXT instrument COMPONENT tip MATERIAL metal SIZE small COMPONENT ball TASK writing SIZE small MATERIAL metal COMPONENT ball SIZE small COMPONENT ball TASK write SIZE tiny COMPONENT ball TASK writing;Precision;3
Banana;PIVOT banana GEOMETRY elongated CONTEXT fruit CONTEXT fruit GEOMETRY elongated GEOMETRY curved HARDNESS soft COLOR green COLOR yellow COLOR red COLOR purple COLOR brown PIVOT bananas GEOMETRY elongated GEOMETRY curved CONTEXT fruit TEXTURE smooth COMPONENT skin SIZE large GEOMETRY elongated CONTEXT fruits SIZE long GEOMETRY curved CONTEXT fruit COLOR yellow COMPONENT skins GEOMETRY elongated GEOMETRY tapering CONTEXT fruit HARDNESS soft HARDNESS soft COLOR yellow SIZE long GEOMETRY curved CONTEXT fruit COLOR yellow COMPONENT skin SIZE large GEOMETRY elongated CONTEXT fruit GEOMETRY thick COLOR yellowish COLOR reddish COMPONENT skin SIZE long GEOMETRY curved CONTEXT fruit HARDNESS soft COLOR yellow COMPONENT skin;Power;1
Banknote;PIVOT banknote MATERIAL paper PIVOT banknotes CONTEXT piece MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL paper CONTEXT piece MATERIAL paper;Power;0
Barrette;PIVOT barrette CONTEXT clasp CONTEXT clasp TASK holding MATERIAL metal MATERIAL plastic MATERIAL fabric COMPONENT clasp TASK secure MATERIAL metal COMPONENT clasp TASK gathering TASK holding TASK holding SIZE small MATERIAL metal MATERIAL plastic TASK hold TASK holding CONTEXT clasp TASK holding SIZE small COMPONENT clasp TASK holding;Precision;2
Battery;PIVOT Battery SIZE small CONTEXT container;Precision;2
Bead;PIVOT bead SIZE small MATERIAL stone MATERIAL shell MATERIAL glass MATERIAL plastic MATERIAL wood MATERIAL pearl SIZE small COMPONENT hole TASK threading TASK stringing HARDNESS soft MATERIAL flexible COMPONENT wire MATERIAL clay SIZE small COMPONENT ball SIZE small CONTEXT pieces MATERIAL glass MATERIAL wood MATERIAL plastic TASK prayer SIZE small GEOMETRY round CONTEXT piece MATERIAL plastic MATERIAL glass MATERIAL metal SIZE small GEOMETRY round MATERIAL glass MATERIAL wood MATERIAL stone SIZE small GEOMETRY round CONTEXT piece MATERIAL glass MATERIAL plastic MATERIAL wood TASK stringing TASK threading SIZE small CONTEXT piece MATERIAL glass MATERIAL stone GEOMETRY rounded TASK threading TASK sewing;Precision;2
Beer bottle;CONTEXT beer PIVOT bottle CONTEXT bottle CONTEXT container MATERIAL glass COLOR brown COLOR green COLOR brown COLOR green MATERIAL glass CONTEXT container;Power;1
Billiard ball;CONTEXT billiard PIVOT ball SIZE small HARDNESS hard COMPONENT ball HARDNESS hard PIVOT ball;Precision;2
Book;PIVOT book TASK writing COMPONENT pages MATERIAL papyrus MATERIAL paper COMPONENT leaf CONTEXT sheets MATERIAL paper COMPONENT pages CONTEXT pieces MATERIAL paper MATERIAL paper MATERIAL cardboard MATERIAL paper MATERIAL wood COMPONENT pages MATERIAL paper COMPONENT pages COMPONENT pages;Power;0
Bookmark;PIVOT bookmark GEOMETRY thin CONTEXT tool MATERIAL card MATERIAL leather MATERIAL fabric PIVOT bookmarks MATERIAL paper MATERIAL silver MATERIAL brass MATERIAL silk MATERIAL wood MATERIAL plastic TASK mark CONTEXT piece MATERIAL paper COMPONENT pages TASK mark GEOMETRY narrow CONTEXT piece MATERIAL card MATERIAL leather COMPONENT pages PIVOT book TASK mark MATERIAL leather MATERIAL metal COMPONENT clamp COMPONENT pages TASK mark MATERIAL leather TASK mark;Power;0
Bottle;PIVOT bottle CONTEXT container MATERIAL clay MATERIAL glass MATERIAL plastic MATERIAL aluminium TASK cooking HARDNESS soft COMPONENT cap CONTEXT container MATERIAL glass MATERIAL plastic GEOMETRY tapered COMPONENT neck TASK holding MATERIAL glass MATERIAL plastic CONTEXT vessel GEOMETRY cylindrical COMPONENT handles GEOMETRY narrow COMPONENT neck MATERIAL glass MATERIAL plastic CONTEXT container GEOMETRY round GEOMETRY straight COMPONENT sides GEOMETRY narrow COMPONENT top HARDNESS rigid CONTEXT container MATERIAL glass MATERIAL plastic GEOMETRY narrow COMPONENT neck COMPONENT mouth COMPONENT handle MATERIAL glass MATERIAL plastic CONTEXT container GEOMETRY narrow COMPONENT top COMPONENT neck CONTEXT container TASK holding COMPONENT neck COMPONENT mouth MATERIAL glass MATERIAL plastic GEOMETRY narrow COMPONENT neck COMPONENT handles MATERIAL glass MATERIAL plastic CONTEXT container GEOMETRY narrow COMPONENT neck;Power;1
Bowl;PIVOT bowl GEOMETRY round CONTEXT dish CONTEXT container TASK prepare TASK serve GEOMETRY spherical COMPONENT cap TASK holding PIVOT bowl PIVOT bowl GEOMETRY round GEOMETRY rectangular GEOMETRY hemispherical CONTEXT container TASK hold GEOMETRY round CONTEXT vessel TASK holding GEOMETRY round CONTEXT container GEOMETRY wide COMPONENT uncovered COMPONENT top TASK eating TASK washing TASK cleaning GEOMETRY hemispherical CONTEXT vessel GEOMETRY rounded CONTEXT container GEOMETRY round CONTEXT container TASK eating TASK preparing GEOMETRY round TASK holding GEOMETRY hemispherical CONTEXT vessel TASK holding GEOMETRY round;Power;0
Box;PIVOT box CONTEXT container GEOMETRY flat GEOMETRY rectangular COMPONENT sides SIZE small SIZE large GEOMETRY rectangular CONTEXT container COMPONENT lid GEOMETRY square GEOMETRY rectangular CONTEXT container HARDNESS hard HARDNESS stiff COMPONENT sides HARDNESS rigid GEOMETRY rectangular CONTEXT container CONTEXT container GEOMETRY straight COMPONENT sides GEOMETRY flat COMPONENT base COMPONENT lid CONTEXT container GEOMETRY rectangular MATERIAL wood MATERIAL metal MATERIAL cardboard COMPONENT lid CONTEXT container COMPONENT sides COMPONENT lid TASK hold CONTEXT container GEOMETRY flat COMPONENT base COMPONENT sides GEOMETRY square GEOMETRY rectangular COMPONENT lid;Power;0
Bun;PIVOT bun SIZE small GEOMETRY round COMPONENT top GEOMETRY flat COMPONENT bottom SIZE small SIZE small GEOMETRY rounded SIZE small SIZE small SIZE small GEOMETRY round CONTEXT cake TEXTURE sticky GEOMETRY round GEOMETRY oblong TASK hold SIZE small SIZE small;Precision;2
Candle;PIVOT candle MATERIAL wax HARDNESS solid MATERIAL tallow HARDNESS solid MATERIAL wax MATERIAL tallow MATERIAL wax CONTEXT stick HARDNESS hard MATERIAL wax CONTEXT piece MATERIAL wax MATERIAL tallow CONTEXT stick MATERIAL wax SIZE long GEOMETRY slender CONTEXT piece MATERIAL tallow MATERIAL wax HARDNESS solid GEOMETRY cylindrical MATERIAL tallow MATERIAL wax GEOMETRY cylinder MATERIAL wax MATERIAL tallow;Power;1
Chalice;PIVOT chalice CONTEXT cup TASK hold TASK drinking SIZE large TASK drinking COMPONENT stem COMPONENT base TASK drinking CONTEXT vessel SIZE large COLOR gold MATERIAL silver CONTEXT cup COMPONENT stem TASK hold TASK drinking SIZE large SIZE large COMPONENT cup;Power;1
Chalk;PIVOT Chalk HARDNESS soft COLOR white TEXTURE porous MATERIAL rock HARDNESS soft COLOR white TEXTURE powdery HARDNESS soft COLOR whitish HARDNESS soft COLOR white MATERIAL rock SIZE small TASK writing TASK drawing HARDNESS soft COLOR white COLOR gray COMPONENT shells HARDNESS soft COLOR white MATERIAL stone HARDNESS soft COLOR white TEXTURE powdery HARDNESS soft MATERIAL quartz COLOR white HARDNESS soft;Precision;3
Chess piece;CONTEXT chess PIVOT piece TASK play COLOR white;Precision;2
Chestnut;PIVOT chestnuts GEOMETRY broad COMPONENT leaves SIZE large TEXTURE smooth CONTEXT nut TASK eat GEOMETRY oblong TEXTURE prickly HARDNESS hard COLOR brown CONTEXT nut TASK eaten;Precision;2
Chocolate bar;CONTEXT chocolate PIVOT bar CONTEXT candy HARDNESS solid GEOMETRY flattish GEOMETRY rectangular;Power;0
Cigarette;PIVOT cigarette GEOMETRY narrow GEOMETRY cylinder GEOMETRY thin MATERIAL paper TASK smoking GEOMETRY thin MATERIAL paper TASK smoked MATERIAL paper TASK smoking SIZE small CONTEXT tubes MATERIAL paper GEOMETRY slender MATERIAL paper TASK smoked GEOMETRY narrow MATERIAL paper CONTEXT tube GEOMETRY cylindrical TASK smoking GEOMETRY thin COLOR white MATERIAL paper SIZE small TASK smoking GEOMETRY thin MATERIAL paper GEOMETRY thin GEOMETRY cylinder MATERIAL paper TASK smoking;Precision;3
Clementine;PIVOT clementine CONTEXT fruit COLOR orange COLOR orange COLOR orange TEXTURE smooth TEXTURE glossy SIZE small COLOR orange COLOR orange CONTEXT fruit SIZE small COLOR orange SIZE small CONTEXT fruit CONTEXT fruit SIZE small COLOR orange SIZE small COLOR orange-red COMPONENT skin COLOR orange;Power;1
Coin;PIVOT coin SIZE small GEOMETRY flat GEOMETRY round CONTEXT piece MATERIAL metal MATERIAL plastic SIZE large GEOMETRY flat PIVOT coin GEOMETRY flat MATERIAL metal CONTEXT piece CONTEXT disc SIZE small CONTEXT piece MATERIAL metal GEOMETRY flat GEOMETRY round CONTEXT piece MATERIAL metal MATERIAL paper CONTEXT piece MATERIAL metal SIZE small MATERIAL metal GEOMETRY flat GEOMETRY circular GEOMETRY flat CONTEXT disc MATERIAL metal;Power;0
Comb;PIVOT comb CONTEXT tool COMPONENT shaft TASK pulling CONTEXT implement TASK grooming GEOMETRY flat GEOMETRY narrow TASK arranges GEOMETRY flat CONTEXT piece MATERIAL plastic MATERIAL metal GEOMETRY narrow TASK tidy CONTEXT instrument TASK adjusting TASK cleaning TASK confining TASK pull GEOMETRY thin MATERIAL plastic HARDNESS hard MATERIAL rubber MATERIAL bone MATERIAL wood MATERIAL metal TASK arranging TASK holding GEOMETRY thin MATERIAL plastic TEXTURE smooth TASK arrange TASK fasten CONTEXT implement MATERIAL plastic MATERIAL metal MATERIAL wood GEOMETRY narrow COMPONENT teeth TASK untangling TASK arranging;Power;0
Compact disk;PIVOT digital MATERIAL plastic CONTEXT disc SIZE small TASK play SIZE small SIZE small MATERIAL plastic CONTEXT disc;Power;0
Credit card;CONTEXT credit PIVOT card MATERIAL plastic MATERIAL plastic SIZE small MATERIAL plastic CONTEXT debit PIVOT card MATERIAL plastic SIZE small MATERIAL plastic;Power;0
Cucumber;PIVOT Cucumber GEOMETRY cylindrical CONTEXT fruits PIVOT cucumber PIVOT cucumber PIVOT vine PIVOT gourd GEOMETRY cylindrical COLOR green CONTEXT fruit SIZE long GEOMETRY thin CONTEXT vegetable HARDNESS hard COLOR green COMPONENT skin TASK eaten CONTEXT fruit SIZE long GEOMETRY thin CONTEXT vegetable COLOR green COMPONENT skin TASK eaten GEOMETRY cylindrical CONTEXT fruit COLOR green CONTEXT fruit TASK eaten SIZE long CONTEXT fruit TASK eaten;Power;1
Cup;PIVOT cup CONTEXT container TASK hold TASK pouring TASK drinking TASK drinking TASK pouring MATERIAL glass MATERIAL metal MATERIAL china MATERIAL clay MATERIAL wood MATERIAL stone MATERIAL polystyrene MATERIAL plastic MATERIAL aluminium COMPONENT stem COMPONENT handles PIVOT cups GEOMETRY concave CONTEXT vessel TASK drinking MATERIAL glass COMPONENT handle SIZE small CONTEXT container TASK drinking COMPONENT handle SIZE small GEOMETRY round CONTEXT container TASK drink COMPONENT handles MATERIAL china MATERIAL plastic TASK drinking CONTEXT vessel SIZE small GEOMETRY round CONTEXT container COMPONENT handle SIZE small CONTEXT container MATERIAL china MATERIAL glass MATERIAL metal COMPONENT handle TASK drink SIZE small CONTEXT container GEOMETRY flat COMPONENT bottom COMPONENT handle TASK drinking SIZE small CONTEXT container TASK drinking COMPONENT handle;Power;1
Dice;PIVOT Dice SIZE small PIVOT dice SIZE small GEOMETRY cube SIZE small GEOMETRY cube PIVOT dice SIZE small GEOMETRY block MATERIAL wood MATERIAL plastic TASK roll TASK throw TASK play SIZE small MATERIAL plastic MATERIAL ivory MATERIAL bone MATERIAL wood SIZE small GEOMETRY cube;Precision;2
Donut;CONTEXT piece GEOMETRY toroidal GEOMETRY ellipsoidal SIZE small SIZE small CONTEXT piece SIZE small COMPONENT ball;Power;0
Earring;PIVOT earring CONTEXT piece CONTEXT jewelry CONTEXT piece CONTEXT jewelry TASK fastened TASK attach CONTEXT piece CONTEXT jewellery TASK wear TASK hanging TASK suspended CONTEXT piece;Precision;2
Egg;PIVOT egg CONTEXT vessel GEOMETRY spherical GEOMETRY ellipsoidal GEOMETRY oval GEOMETRY round COMPONENT shell GEOMETRY round GEOMETRY oval GEOMETRY oval GEOMETRY oval GEOMETRY round COMPONENT shell TEXTURE leathery;Precision;2
Envelope;PIVOT envelope GEOMETRY thin GEOMETRY flat GEOMETRY flat MATERIAL paper MATERIAL cardboard SIZE small GEOMETRY flat GEOMETRY flat GEOMETRY rectangular CONTEXT container GEOMETRY thin GEOMETRY rectangular MATERIAL paper GEOMETRY flat MATERIAL paper CONTEXT container GEOMETRY flat TASK write GEOMETRY flat MATERIAL paper CONTEXT container GEOMETRY thin GEOMETRY flat MATERIAL paper CONTEXT container GEOMETRY flat MATERIAL paper CONTEXT container COMPONENT flap;Power;0
Flashlight;PIVOT flashlight COMPONENT reflector SIZE small SIZE small TASK carry SIZE small SIZE small SIZE small;Power;1
Flask;PIVOT Flask CONTEXT vessel MATERIAL metal MATERIAL glass MATERIAL metal MATERIAL iron MATERIAL glass GEOMETRY narrow COMPONENT neck CONTEXT bottle TASK carrying MATERIAL glass GEOMETRY rounded GEOMETRY narrow COMPONENT neck SIZE small CONTEXT container GEOMETRY narrow COMPONENT neck COMPONENT cap GEOMETRY flat GEOMETRY thin CONTEXT container CONTEXT container TASK carrying GEOMETRY round CONTEXT vessel;Power;1
Fork;MATERIAL cutlery MATERIAL metal SIZE long COMPONENT handle COMPONENT head GEOMETRY narrow GEOMETRY curved COMPONENT tines TASK hold TASK cut TASK lift CONTEXT tool SIZE long GEOMETRY straight COMPONENT handle TASK digging TASK lifting TASK throwing TASK serving TASK eating CONTEXT tool TASK eating SIZE long MATERIAL metal CONTEXT implement TASK eating TASK digging MATERIAL metal MATERIAL plastic TASK eating COMPONENT handle CONTEXT instrument TASK holding TASK lifting TASK eating TASK serving CONTEXT implement TASK lifting TASK holding TASK cutting;Precision;3
Fountain pen;CONTEXT fountain PIVOT pen TASK writing CONTEXT instrument MATERIAL metal COMPONENT nib TASK hold TASK writing TASK drawn TASK writing CONTEXT container TASK write;Precision;3
Frisbee;SIZE flying CONTEXT disc CONTEXT disc MATERIAL plastic TASK throwing CONTEXT disc PIVOT disc TASK fly MATERIAL plastic CONTEXT disk PIVOT Frisbee MATERIAL plastic CONTEXT disc MATERIAL plastic TASK tossing GEOMETRY round CONTEXT piece MATERIAL plastic TASK throw MATERIAL plastic GEOMETRY concave CONTEXT disk TASK thrown MATERIAL plastic TASK throw GEOMETRY concave MATERIAL plastic CONTEXT disc TASK skimming;Power;0
Gel pen;CONTEXT gel PIVOT pen GEOMETRY thick TEXTURE slick MATERIAL felt COMPONENT tip TASK writing;Precision;3
Glasses;PIVOT Glasses MATERIAL glass HARDNESS hard MATERIAL plastic COMPONENT lenses COMPONENT nose MATERIAL glass CONTEXT instrument TASK correcting TASK correcting TASK wear PIVOT glasses TASK correcting SIZE large MATERIAL aluminum MATERIAL oxide HARDNESS hard COMPONENT nose;Precision;2
Glue stick;CONTEXT Glue PIVOT sticks HARDNESS solid HARDNESS hard TASK apply TASK holding CONTEXT tube TASK rubbing COMPONENT Stick HARDNESS solid CONTEXT tube CONTEXT tube HARDNESS solid COMPONENT stick;Power;1
Golf ball;CONTEXT golf PIVOT ball COMPONENT ball SIZE small COLOR white COMPONENT ball CONTEXT golf PIVOT ball SIZE small HARDNESS hard COLOR white COMPONENT ball SIZE small HARDNESS hard TEXTURE dimpled PIVOT ball SIZE small COLOR white COMPONENT ball TASK playing COMPONENT nose TASK correct HARDNESS tough COMPONENT cover MATERIAL rubber TASK playing SIZE small HARDNESS hard COMPONENT ball SIZE small HARDNESS hard COMPONENT ball TEXTURE dimpled COLOR white MATERIAL latex;Precision;2
Hairbrush;PIVOT hairbrush COMPONENT handle CONTEXT brush HARDNESS rigid HARDNESS soft TASK smoothing MATERIAL iron GEOMETRY flat COMPONENT brush TASK detangling TASK showering GEOMETRY round TASK styling TASK curling TASK straighten HARDNESS soft TASK brushing TASK tidying TASK detangling TASK groom CONTEXT brush TASK brush TASK arranging TASK smoothing TASK styling TASK smoothing;Power;0
Hammer;PIVOT hammer CONTEXT tool CONTEXT tool COMPONENT head SIZE long COMPONENT handle MATERIAL metal TASK breaking CONTEXT tool WEIGHT heavy COMPONENT head COMPONENT handle TASK pounding COMPONENT cap CONTEXT tool WEIGHT heavy CONTEXT piece MATERIAL metal COMPONENT handle TASK hit MATERIAL wood TASK break CONTEXT tool HARDNESS solid COMPONENT head COMPONENT handle TASK pounding CONTEXT tool TASK hitting TASK forcing COMPONENT handle WEIGHT heavy MATERIAL metal COMPONENT top GEOMETRY flat CONTEXT tool HARDNESS solid COMPONENT head MATERIAL metal COMPONENT handle TASK beating TASK driving CONTEXT tool COMPONENT handle COMPONENT head MATERIAL metal WEIGHT heavy HARDNESS rigid TASK striking TASK pounding CONTEXT tool WEIGHT heavy MATERIAL metal COMPONENT head COMPONENT handle TASK breaking;Power;1
Handfan;PIVOT fan GEOMETRY broad GEOMETRY flat TASK waved GEOMETRY thin MATERIAL paper TASK waved;Power;0
Jar;PIVOT jar HARDNESS rigid GEOMETRY cylindrical GEOMETRY conical CONTEXT container MATERIAL glass MATERIAL ceramic MATERIAL plastic GEOMETRY wide COMPONENT mouth TASK closed COMPONENT lid COMPONENT cap COMPONENT cap COMPONENT cap COMPONENT cap COMPONENT cap MATERIAL plastic CONTEXT container COMPONENT handles TASK holding CONTEXT vessel GEOMETRY cylindrical GEOMETRY wide COMPONENT mouth COMPONENT handles MATERIAL glass CONTEXT container COMPONENT lid MATERIAL glass MATERIAL glass CONTEXT container COMPONENT lid GEOMETRY wide COMPONENT top CONTEXT container GEOMETRY cylindrical MATERIAL glass GEOMETRY cylindrical MATERIAL glass CONTEXT vessel GEOMETRY wide COMPONENT mouth COMPONENT handles GEOMETRY cylindrical CONTEXT container MATERIAL glass MATERIAL pottery COMPONENT lid;Power;1
Jug;PIVOT jug CONTEXT container TASK hold GEOMETRY narrow TASK pour TASK drink COMPONENT handle TASK pouring MATERIAL metal MATERIAL ceramic MATERIAL glass MATERIAL plastic TASK pouring TASK holding HARDNESS soft CONTEXT vessel CONTEXT container GEOMETRY circular SIZE small COMPONENT mouth COMPONENT handle SIZE large GEOMETRY narrow COMPONENT mouth GEOMETRY cylindrical CONTEXT container COMPONENT handle TASK holding TASK pouring SIZE large CONTEXT container MATERIAL glass MATERIAL plastic GEOMETRY narrow COMPONENT mouth COMPONENT handle CONTEXT container TASK pour SIZE large CONTEXT container MATERIAL metal MATERIAL glass COMPONENT handle GEOMETRY narrow COMPONENT neck COMPONENT cap SIZE large GEOMETRY rounded CONTEXT vessel MATERIAL glass MATERIAL metal SIZE small COMPONENT mouth COMPONENT handle COMPONENT cap TASK hold GEOMETRY cylindrical CONTEXT container COMPONENT handle COMPONENT lip TASK holding TASK pouring;Power;1
