Object;WikiTokensWithTypes;GraspType;Grasp
Key;PIVOT Key PIVOT Key TASK open TASK close MATERIAL metal CONTEXT piece MATERIAL metal TASK open TASK start MATERIAL metal CONTEXT instrument SIZE small CONTEXT piece MATERIAL metal TASK opening TASK locking CONTEXT container SIZE small MATERIAL metal CONTEXT instrument MATERIAL metal CONTEXT implement TASK open TASK close CONTEXT implement TASK opening TASK lock SIZE small CONTEXT piece MATERIAL metal TASK open TASK close;Power;0
Kiwifruit;PIVOT Kiwifruit GEOMETRY oval SIZE large GEOMETRY thin TEXTURE fuzzy COLOR brown COMPONENT skin COLOR green COLOR golden COLOR black CONTEXT fruit HARDNESS soft CONTEXT fruit GEOMETRY oval CONTEXT fruit CONTEXT fruit TEXTURE fuzzy COLOR brown COMPONENT skin COLOR green CONTEXT fruit;Precision;2
Knife;PIVOT knife CONTEXT tool TASK cutting COMPONENT blade COMPONENT handle CONTEXT tools MATERIAL wood MATERIAL stone MATERIAL flint MATERIAL obsidian COMPONENT blades MATERIAL copper MATERIAL bronze MATERIAL iron MATERIAL steel MATERIAL ceramic MATERIAL titanium COMPONENT blades COMPONENT blade CONTEXT tool TASK cutting GEOMETRY flat CONTEXT piece HARDNESS hard MATERIAL steel MATERIAL metal COMPONENT blade COMPONENT handle COMPONENT blade CONTEXT tool TASK cutting CONTEXT instrument COMPONENT blade COMPONENT handle COMPONENT knife CONTEXT tool TASK cutting GEOMETRY flat CONTEXT piece MATERIAL metal COMPONENT handle TASK cutting CONTEXT instrument COMPONENT blade COMPONENT handle COMPONENT blade TASK cutting CONTEXT instrument TASK cutting GEOMETRY thin MATERIAL metal COMPONENT blade COMPONENT handle TASK cutting CONTEXT instrument COMPONENT blade COMPONENT handle TASK cutting COMPONENT blade CONTEXT instrument COMPONENT blade COMPONENT handle TASK cutting;Precision;3
Ladle;PIVOT Ladle SIZE long GEOMETRY curved COMPONENT handle CONTEXT vessel SIZE long COMPONENT handle TASK transfer SIZE large GEOMETRY round SIZE long COMPONENT handle TASK serving TASK dipping TASK conveying SIZE large SIZE long COMPONENT handle TASK serving CONTEXT utensil COMPONENT bowl TASK dipping TASK conveying COMPONENT bowl TASK serving SIZE large COMPONENT bowl TASK serving;Precision;3
Lemon;PIVOT lemon SIZE small COLOR yellowish CONTEXT fruit COLOR yellow GEOMETRY oval CONTEXT fruit COLOR yellow CONTEXT fruit CONTEXT fruit COLOR yellow GEOMETRY oblong CONTEXT fruit HARDNESS hard COLOR yellow COMPONENT skin COLOR yellowish CONTEXT fruit GEOMETRY oval COLOR yellow CONTEXT fruit CONTEXT fruit COLOR yellow GEOMETRY oval CONTEXT fruit GEOMETRY thick COMPONENT skin;Power;1
Lollipop;PIVOT lollipop CONTEXT candy HARDNESS hard CONTEXT candy COMPONENT stick TASK sucking TASK licking CONTEXT piece COMPONENT stick SIZE small HARDNESS hard CONTEXT disc COMPONENT stick CONTEXT piece HARDNESS hard CONTEXT candy COMPONENT stick HARDNESS hard COMPONENT stick CONTEXT piece HARDNESS hard CONTEXT candy SIZE small COMPONENT stick TASK held CONTEXT piece HARDNESS hard CONTEXT candy SIZE small COMPONENT stick SIZE large GEOMETRY flat GEOMETRY rounded COMPONENT stick;Precision;3
Marble;PIVOT Marble MATERIAL rock MATERIAL Marble MATERIAL Marble MATERIAL limestone HARDNESS hard MATERIAL rock HARDNESS hard MATERIAL rock MATERIAL marble MATERIAL limestone HARDNESS hard TEXTURE smooth MATERIAL stone COLOR white MATERIAL rock MATERIAL limestone CONTEXT piece MATERIAL rock MATERIAL rock HARDNESS hard MATERIAL limestone COLOR white;Precision;2
Marker Pen;CONTEXT marker PIVOT pen TASK marking CONTEXT pen COMPONENT tip TEXTURE porous MATERIAL felt GEOMETRY thick COMPONENT tip MATERIAL felt GEOMETRY thick COMPONENT tip MATERIAL felt;Precision;3
Mobile phone;CONTEXT mobile PIVOT phone CONTEXT mobile PIVOT phone CONTEXT mobile PIVOT phones CONTEXT Mobile PIVOT phones PIVOT phones CONTEXT mobile PIVOT phones CONTEXT mobile PIVOT phone TASK carry SIZE small PIVOT phone TASK carry PIVOT phone CONTEXT wireless PIVOT telephone SIZE large;Power;0
Mousepad;PIVOT mousepad TASK placing SIZE small GEOMETRY thin GEOMETRY flat COMPONENT pad MATERIAL rubber GEOMETRY flat SIZE small MATERIAL rubber CONTEXT sheet GEOMETRY flat COMPONENT pad MATERIAL foam MATERIAL rubber HARDNESS rigid;Power;0
Mug;PIVOT mug CONTEXT cup TASK drinking COMPONENT handles TASK hold CONTEXT container SIZE large COMPONENT handle TASK held SIZE large COMPONENT cup GEOMETRY straight COMPONENT sides COMPONENT handle TASK hot GEOMETRY cylindrical TASK drinking GEOMETRY straight COMPONENT sides TASK drinking GEOMETRY cylindrical COMPONENT handle WEIGHT heavy WEIGHT heavy GEOMETRY cylindrical TASK drinking COMPONENT handle SIZE large COMPONENT cup GEOMETRY cylindrical COMPONENT handle;Power;1
Newspaper;PIVOT newspaper COLOR black COLOR white COLOR gray MATERIAL paper SIZE large CONTEXT sheets MATERIAL paper MATERIAL paper SIZE large MATERIAL paper PIVOT newspapers PIVOT newspapers PIVOT newspaper MATERIAL paper;Power;0
Notepad;CONTEXT pad MATERIAL paper CONTEXT pad MATERIAL paper CONTEXT pad MATERIAL paper TASK writing TASK writing COMPONENT pages TASK writing MATERIAL paper COMPONENT pages TASK writing;Power;0
Onion;PIVOT onion CONTEXT vegetable GEOMETRY round CONTEXT vegetable COLOR brown COMPONENT skin GEOMETRY round CONTEXT vegetable GEOMETRY thin COMPONENT skin GEOMETRY rounded GEOMETRY tight GEOMETRY concentric COMPONENT leaf GEOMETRY concentric;Power;1
Paintbrush;PIVOT paintbrush CONTEXT brush TASK apply COMPONENT bristles COMPONENT handle TASK painting TASK decorating GEOMETRY thin TASK applying TASK apply TASK painting TASK applying TASK putting TASK applying TASK applying TASK applying;Precision;3
Pan;PIVOT Pan TASK cooking CONTEXT utensil GEOMETRY wide MATERIAL metal CONTEXT vessel COMPONENT pan GEOMETRY round MATERIAL metal CONTEXT container SIZE long COMPONENT handle TASK cooking GEOMETRY broad CONTEXT container TASK cooking GEOMETRY round MATERIAL metal CONTEXT container TASK cooking COMPONENT handle COMPONENT lid GEOMETRY tall COMPONENT sides COMPONENT pan COMPONENT sides GEOMETRY broad CONTEXT container MATERIAL metal GEOMETRY wide CONTEXT container MATERIAL metal COMPONENT lid TASK holding MATERIAL metal CONTEXT container TASK cooking;Power;0
Peach;PIVOT peach COLOR pink COLOR flowers CONTEXT fruit HARDNESS soft GEOMETRY round CONTEXT fruit COLOR yellow COLOR pinky-orange COMPONENT skin GEOMETRY lanceolate COLOR pink CONTEXT fruit HARDNESS hard COLOR white COLOR yellow GEOMETRY thin TEXTURE fuzzy COMPONENT skin CONTEXT fruit COMPONENT skin COLOR yellow SIZE large HARDNESS hard COMPONENT seed CONTEXT fruit SIZE small COLOR pink CONTEXT fruit HARDNESS soft CONTEXT fruit COLOR yellow COLOR white TEXTURE downy COLOR reddish-yellow COMPONENT skin COMPONENT seed GEOMETRY round CONTEXT fruit COLOR yellow TEXTURE downy COMPONENT skin;Power;1
Pear;PIVOT Pears CONTEXT fruits CONTEXT fruit CONTEXT fruit GEOMETRY elongated COMPONENT stem CONTEXT fruit CONTEXT fruit GEOMETRY narrow COMPONENT stalk GEOMETRY wider GEOMETRY rounded GEOMETRY thin COLOR green COLOR yellow COMPONENT skin CONTEXT fruit COLOR pale COLOR green COLOR brownish COMPONENT skin GEOMETRY oblong GEOMETRY broad COMPONENT base GEOMETRY narrow COMPONENT stem CONTEXT fruit COMPONENT stem COLOR yellow COLOR green COLOR brown COMPONENT skin CONTEXT fruit GEOMETRY rounded GEOMETRY elongated COMPONENT stem TEXTURE glossy COLOR white CONTEXT fruit COLOR yellowish CONTEXT fruit GEOMETRY narrow COMPONENT stalk GEOMETRY wider COMPONENT base;Power;1
Pencil;PIVOT pencil TASK writing TASK drawing CONTEXT implement HARDNESS solid GEOMETRY thin GEOMETRY cylindrical TASK writing CONTEXT implement MATERIAL wood TASK write TASK draw GEOMETRY thin CONTEXT piece MATERIAL wood COLOR black TASK write TASK draw SIZE long GEOMETRY thin MATERIAL wood TASK writing TASK drawing MATERIAL paper GEOMETRY slender CONTEXT tube MATERIAL wood MATERIAL metal MATERIAL plastic HARDNESS solid TASK writing TASK drawing GEOMETRY narrow GEOMETRY cylindrical CONTEXT implement TASK writing TASK drawing TASK marking GEOMETRY thin MATERIAL graphite MATERIAL wax MATERIAL wood TASK held CONTEXT instrument TASK writing TASK drawing GEOMETRY thin COMPONENT stick MATERIAL graphite SIZE long GEOMETRY thin CONTEXT piece MATERIAL wood GEOMETRY cylindrical;Precision;3
Pill;PIVOT Pill PIVOT Pill SIZE small GEOMETRY round GEOMETRY cylindrical TASK swallowing SIZE small HARDNESS solid GEOMETRY round SIZE small GEOMETRY rounded SIZE small CONTEXT piece HARDNESS solid SIZE small GEOMETRY globular GEOMETRY rounded HARDNESS hard TASK swallowed SIZE small COMPONENT pellet SIZE small GEOMETRY round HARDNESS solid TASK swallowing;Precision;2
Pliers;PIVOT Pliers CONTEXT tool TASK hold COMPONENT handle MATERIAL metal TASK bending MATERIAL metal COMPONENT handles SIZE small CONTEXT tool TASK bending CONTEXT tool COMPONENT Pliers CONTEXT tool COMPONENT handles HARDNESS hard GEOMETRY flat MATERIAL metal TASK holding TASK pulling TASK bending TASK cutting SIZE small TASK holding TASK bending TASK cutting MATERIAL metal CONTEXT tool TASK holding TASK bending TASK cutting TASK gripping CONTEXT tool COMPONENT jaws GEOMETRY flat TASK gripping TASK bending;Power;1
Plate;PIVOT Plate GEOMETRY curved GEOMETRY flat MATERIAL rubber PIVOT plate GEOMETRY round GEOMETRY oval GEOMETRY flat CONTEXT dish TASK hold TEXTURE smooth GEOMETRY flat GEOMETRY thin CONTEXT piece GEOMETRY flat GEOMETRY round CONTEXT dish GEOMETRY circular MATERIAL porcelain TEXTURE smooth GEOMETRY flat GEOMETRY thin HARDNESS rigid GEOMETRY flat GEOMETRY circular MATERIAL china;Power;0
Playing card;CONTEXT playing PIVOT card CONTEXT piece WEIGHT heavy MATERIAL paper GEOMETRY thin MATERIAL cardboard MATERIAL paper GEOMETRY thin MATERIAL plastic TASK throwing CONTEXT playing PIVOT card CONTEXT Playing GEOMETRY rectangular TASK play CONTEXT Playing GEOMETRY thin MATERIAL cardboard TASK play GEOMETRY thin GEOMETRY rectangular MATERIAL cardboard MATERIAL plastic TASK playing PIVOT card TASK playing GEOMETRY rectangular PIVOT card TASK play;Power;0
Potato;PIVOT potato CONTEXT vegetable GEOMETRY round CONTEXT vegetables COLOR brown COLOR red COMPONENT skins HARDNESS hard GEOMETRY round CONTEXT vegetable COLOR brown COLOR red COLOR yellow COMPONENT skin COLOR white COLOR yellow;Power;1
Potato chip;CONTEXT potato PIVOT chip GEOMETRY thin CONTEXT slice CONTEXT potato GEOMETRY elongated GEOMETRY thin HARDNESS hard TASK eaten GEOMETRY thin CONTEXT slice COLOR white CONTEXT potato GEOMETRY thin CONTEXT slice GEOMETRY thin CONTEXT slice;Power;0
Quill;PIVOT quill TASK writing CONTEXT tool CONTEXT feather SIZE large TASK writing COMPONENT feather SIZE large COMPONENT feathers;Precision;3
Remote control;PIVOT remote CONTEXT control TASK operate CONTEXT control TASK operate TASK operate CONTEXT piece;Power;0
Rubik's Cube;CONTEXT Rubik PIVOT Cube CONTEXT Rubik GEOMETRY cube PIVOT cube CONTEXT box GEOMETRY cube PIVOT cube MATERIAL plastic GEOMETRY cube;Power;1
Scalpel;PIVOT scalpel SIZE small CONTEXT instrument TASK surgery COMPONENT blades COMPONENT blades MATERIAL plastic COMPONENT handle COMPONENT blade CONTEXT instrument COMPONENT blades SIZE small GEOMETRY straight CONTEXT knife COMPONENT blade TASK surgery TASK dissection GEOMETRY thin GEOMETRY straight CONTEXT knife TASK dissection TASK surgery CONTEXT knife SIZE short GEOMETRY thin COMPONENT blade SIZE small GEOMETRY straight CONTEXT knife TASK surgery SIZE small CONTEXT knife SIZE small GEOMETRY straight CONTEXT knife TASK dissections SIZE small GEOMETRY straight COMPONENT knife GEOMETRY thin COMPONENT blade TASK surgery TASK dissection SIZE small COMPONENT blade;Precision;3
Scissors;PIVOT Scissors TASK shearing CONTEXT tools MATERIAL metal COMPONENT blades COMPONENT handles TASK cutting GEOMETRY thin MATERIAL paper MATERIAL cardboard MATERIAL metal MATERIAL cloth SIZE large TASK cutting TASK cut TASK cutting TASK trimming CONTEXT tool TASK cutting GEOMETRY thin COMPONENT blades COMPONENT blades COMPONENT handles CONTEXT tool COMPONENT blades SIZE small TASK cutting CONTEXT tool COMPONENT blades TASK cutting TASK cutting CONTEXT instrument COMPONENT blades TASK cutting CONTEXT tool TASK cutting COMPONENT blades TASK open TASK cutting CONTEXT instrument COMPONENT blades COMPONENT handle TASK cutting CONTEXT implement COMPONENT blades COMPONENT pin TASK cutting CONTEXT instrument TASK cutting COMPONENT blades COMPONENT handles;Precision;3
Screw;PIVOT screw COMPONENT bolt MATERIAL metal TASK fasten MATERIAL metal MATERIAL wood HARDNESS solid GEOMETRY cylinder GEOMETRY thin CONTEXT piece MATERIAL metal TASK push MATERIAL metal GEOMETRY tapered COMPONENT shank GEOMETRY helical COMPONENT thread COMPONENT head MATERIAL wood GEOMETRY cylindrical GEOMETRY helical GEOMETRY advancing COMPONENT screw GEOMETRY slender MATERIAL metal COMPONENT pin GEOMETRY round COMPONENT head;Precision;2
Screwdriver;PIVOT screwdriver CONTEXT tool TASK driving COMPONENT handle COMPONENT shaft COMPONENT tip COMPONENT handle PIVOT screwdriver CONTEXT tool TASK drill HARDNESS tough MATERIAL steel TASK bending TASK twisting COMPONENT tip COMPONENT tip COMPONENT tip COMPONENT Handles MATERIAL wood MATERIAL metal MATERIAL plastic GEOMETRY hexagonal GEOMETRY square GEOMETRY oval CONTEXT tool TASK rolling COMPONENT handle COMPONENT tips COMPONENT tip CONTEXT tool TASK loosening CONTEXT tool TASK driving COMPONENT tip PIVOT screwdriver CONTEXT tool TASK turning MATERIAL metal COMPONENT rod GEOMETRY flat CONTEXT tool TASK turning CONTEXT tool TASK turning CONTEXT tool TASK turning COMPONENT handle SIZE long GEOMETRY narrow COMPONENT shank MATERIAL metal COMPONENT tip CONTEXT tool TASK turning CONTEXT tool GEOMETRY flattened COMPONENT tip COMPONENT screw;Precision;3
Sheet of paper;CONTEXT piece HARDNESS loose MATERIAL paper COMPONENT pages;Power;0
Spatula;PIVOT spatula GEOMETRY broad GEOMETRY flat MATERIAL flexible COMPONENT blade TASK mix TASK spread TASK lift CONTEXT utensil GEOMETRY flat COMPONENT surface SIZE long COMPONENT handle TASK turning TASK lifting TASK stirring GEOMETRY narrow MATERIAL flexible COMPONENT blade GEOMETRY flat GEOMETRY thin CONTEXT implement TASK spreading TASK mixing TASK lifting CONTEXT tool COMPONENT handle GEOMETRY wide GEOMETRY flat TASK lifting TASK spreading CONTEXT implement GEOMETRY broad GEOMETRY flat MATERIAL flexible COMPONENT blade TASK blending TASK removing TASK cooking TASK spreading SIZE small CONTEXT implement GEOMETRY straight COMPONENT handle GEOMETRY broad MATERIAL flexible COMPONENT blade TASK mix TASK spread CONTEXT implement GEOMETRY broad GEOMETRY flat COMPONENT blade TASK mixing TASK spreading TASK cooking;Power;0
Sponge;PIVOT Sponges GEOMETRY thin TEXTURE porous TEXTURE porous MATERIAL rubber WEIGHT light HARDNESS soft HARDNESS soft CONTEXT piece HARDNESS soft TASK cleaning TASK washing TEXTURE porous SIZE large TEXTURE porous CONTEXT piece MATERIAL plastic TASK cleaning HARDNESS soft TEXTURE porous MATERIAL fibres;Precision;2
Spoon;PIVOT spoon CONTEXT utensil SIZE small COMPONENT bowl COMPONENT head GEOMETRY oval GEOMETRY round COMPONENT handle TASK stir TASK toss MATERIAL metal GEOMETRY flat MATERIAL silver HARDNESS solid MATERIAL wood MATERIAL porcelain MATERIAL plastic GEOMETRY wide CONTEXT implement TASK eating SIZE long COMPONENT handle GEOMETRY straight CONTEXT piece CONTEXT container COMPONENT handle TASK stir TASK serve TASK take TASK eating TASK stirring COMPONENT bowl SIZE long COMPONENT handle TASK eating TASK cooking CONTEXT implement SIZE small COMPONENT bowl SIZE long COMPONENT handle TASK eating TASK preparing TASK eating TASK stirring SIZE small COMPONENT bowl COMPONENT handle SIZE small COMPONENT bowl COMPONENT handle TASK preparing TASK eating CONTEXT implement SIZE small GEOMETRY oval GEOMETRY round COMPONENT bowl SIZE long COMPONENT handle TASK eating TASK stirring;Precision;3
Strawberry;PIVOT strawberry CONTEXT fruit COLOR red SIZE large COLOR red CONTEXT fruit COLOR red CONTEXT fruit SIZE small COLOR red CONTEXT fruit HARDNESS soft SIZE tiny COLOR yellow COMPONENT seeds COMPONENT skin COLOR red CONTEXT fruit SIZE small HARDNESS soft COLOR red CONTEXT fruit SIZE small COMPONENT seeds COMPONENT skin CONTEXT fruit COLOR white CONTEXT fruit COLOR red HARDNESS soft COLOR red CONTEXT fruit;Precision;2
Syringe;PIVOT syringe GEOMETRY cylindrical CONTEXT tube CONTEXT tube CONTEXT tube PIVOT syringe COMPONENT needle TASK injecting TASK drawing CONTEXT instrument TASK inject TASK withdraw SIZE small CONTEXT tube GEOMETRY thin COMPONENT needle TASK putting MATERIAL rubber TASK injection MATERIAL plastic CONTEXT tube TASK taking TASK putting SIZE small MATERIAL glass MATERIAL metal HARDNESS hard MATERIAL rubber CONTEXT tube MATERIAL rubber TASK drawing TASK cleaning TASK injecting CONTEXT instrument TASK inject TASK draw CONTEXT tube COMPONENT piston TASK sucking GEOMETRY thin TASK cleaning COMPONENT needle TASK injecting TASK withdrawing;Precision;3
Tennis ball;CONTEXT tennis PIVOT ball COMPONENT ball CONTEXT Tennis COLOR yellow CONTEXT Tennis PIVOT balls TEXTURE fibrous MATERIAL felt GEOMETRY oval MATERIAL rubber COMPONENT ball COLOR yellow MATERIAL felt MATERIAL rubber COMPONENT ball MATERIAL felt MATERIAL rubber MATERIAL felt COMPONENT ball MATERIAL rubber TEXTURE fuzzy MATERIAL nylon MATERIAL wool;Precision;2
Thermometer;PIVOT thermometer TASK measure TASK measuring CONTEXT instrument TASK measuring PIVOT thermometer CONTEXT instrument TASK measuring GEOMETRY narrow MATERIAL glass CONTEXT tube GEOMETRY thin COMPONENT column TASK measuring MATERIAL glass CONTEXT tube COMPONENT tube CONTEXT instrument TASK measuring MATERIAL glass CONTEXT tube CONTEXT instrument TASK measuring GEOMETRY narrow MATERIAL glass CONTEXT tube CONTEXT tube;Precision;3
Toothbrush;PIVOT toothbrush CONTEXT instrument TASK clean COMPONENT head COMPONENT bristles COMPONENT handle TASK cleaning TASK clean PIVOT toothbrush TASK cleaning SIZE small SIZE long COMPONENT handle TASK clean SIZE small CONTEXT brush TASK cleaning TASK cleaning SIZE small TASK cleaning SIZE small SIZE long COMPONENT handle TASK cleaning TASK cleaning SIZE small SIZE long COMPONENT handle TASK cleaning;Precision;3
Tube;CONTEXT Tube CONTEXT tubes GEOMETRY cylindrical SIZE long COMPONENT hollow GEOMETRY cylindrical TASK hold CONTEXT tube SIZE long GEOMETRY round GEOMETRY cylindrical SIZE long GEOMETRY narrow GEOMETRY cylindrical MATERIAL metal MATERIAL glass MATERIAL rubber CONTEXT tube CONTEXT tube SIZE long MATERIAL metal MATERIAL plastic MATERIAL glass TASK holding;Precision;3
Tweezers;PIVOT Tweezers SIZE small CONTEXT tools TASK picking SIZE small CONTEXT tool TASK grab TASK hold SIZE small CONTEXT instrument MATERIAL metal TASK picking TASK plucking TASK plucking TASK pulling CONTEXT tool TASK holding SIZE small CONTEXT tool TASK picking TASK pulling MATERIAL metal MATERIAL plastic SIZE small MATERIAL metal CONTEXT instruments TASK held TASK plucking TASK holding CONTEXT tool TASK picking TASK removing GEOMETRY narrow MATERIAL metal SIZE small COMPONENT pincers TASK plucking TASK extracting TASK picking SIZE small SIZE Small MATERIAL metal TASK plucking TASK handling SIZE small CONTEXT instrument TASK plucking TASK picking SIZE small;Precision;3
Vase;PIVOT vase CONTEXT container MATERIAL ceramics MATERIAL glass MATERIAL aluminium MATERIAL brass MATERIAL bronze MATERIAL steel MATERIAL wood MATERIAL wood MATERIAL plastic TASK hold TASK holding CONTEXT container MATERIAL glass MATERIAL porcelain TASK hold MATERIAL glass MATERIAL pottery TASK holding GEOMETRY round CONTEXT vessel TASK holding CONTEXT container CONTEXT vessel MATERIAL glass MATERIAL porcelain MATERIAL metal TASK hold CONTEXT container MATERIAL glass MATERIAL porcelain TASK holding CONTEXT container COMPONENT handles MATERIAL glass MATERIAL china;Power;1
Wallet;PIVOT wallet SIZE small GEOMETRY flat CONTEXT pouch TASK carry SIZE small MATERIAL paper MATERIAL leather MATERIAL fabrics SIZE small GEOMETRY flat MATERIAL leather TASK holding SIZE small GEOMETRY flat MATERIAL leather MATERIAL plastic TASK carrying SIZE small GEOMETRY flat SIZE small TASK carry GEOMETRY flat SIZE large TASK hold GEOMETRY flat MATERIAL leather TASK holding GEOMETRY flat TASK holding MATERIAL plastic;Power;0
Walnut;PIVOT walnut CONTEXT nut CONTEXT nut COMPONENT seed HARDNESS hard COMPONENT shell HARDNESS hard GEOMETRY round COMPONENT shell COLOR brown CONTEXT nut CONTEXT nut CONTEXT fruits GEOMETRY rounded TEXTURE sticky HARDNESS hard COMPONENT shell MATERIAL corrugated COMPONENT seed SIZE large HARDNESS hard COMPONENT shell COLOR green CONTEXT fruit;Precision;2
Whisk;PIVOT whisk TASK cooking CONTEXT utensil TASK blend TEXTURE smooth SIZE long GEOMETRY narrow COMPONENT handle COMPONENT wire COMPONENT wires MATERIAL metal MATERIAL plastic MATERIAL bamboo COMPONENT wires TASK whipping CONTEXT tool TASK whisking TASK whipping CONTEXT tool SIZE long COMPONENT wire COMPONENT handle HARDNESS soft CONTEXT utensil TASK whipping;Precision;3
Wine bottle;CONTEXT wine PIVOT bottle CONTEXT bottle MATERIAL glass CONTEXT bottle TASK holding SIZE long COMPONENT neck MATERIAL glass TASK holding MATERIAL glass;Power;1
Wine glass;CONTEXT wine PIVOT glass MATERIAL glass TASK drink COMPONENT bowl COMPONENT stem MATERIAL glass CONTEXT vessel COMPONENT stem MATERIAL glass GEOMETRY narrow COMPONENT stem TASK drinking TASK drinking GEOMETRY thin COMPONENT stem COMPONENT base TASK drinking COMPONENT stem COMPONENT stem COMPONENT foot TASK drinking;Power;1
